dateSeen,brand,name,categories,prices_before,prices_after,prices_disc,availability,views
04/18/19 02:01,Drew,women's drew flash ii,Sneakers,195.81,193.87,0.99%,TRUE,1
04/18/19 02:01,Drew,Women's Drew Motion,Sneakers,221.77,144.95,34.64%,TRUE,5
04/18/19 02:01,Drew,Women's Drew Motion V,Sneakers,221.77,144.95,34.64%,TRUE,15
04/18/19 02:02,Propet,Propet TravelWalker II - Active - Women's - White Mesh,Sneakers,60.55,59.95,0.99%,TRUE,1
04/18/19 02:04,Propet,Women's Propet TIDEWATER Sneakers WHITE 9.5 B,Sneakers,66.61,65.95,0.99%,FALSE,2
04/18/19 02:12,Propet,Propet Cush'n Foot - Stretchable - Women's - Navy,NA,114.38,113.25,0.99%,TRUE,3
04/18/19 03:00,Old West,Old West Women's 11 Inch Narrow Round Toe Cowboy Boot,Boots,113.07,111.95,0.99%,TRUE,2
04/18/19 03:00,Fergie Shoes,women's fergalicious voila cowboy boot,Boots,47.56,47.09,0.99%,TRUE,6
04/18/19 03:00,Carlos,women's carlos by carlos santana cole bootie,Boots,73.42,57.81,21.26%,FALSE,1
04/18/19 03:00,Old West,Women's Old West 12 Inch Snip Toe Fashion Wear Cowboy Boot,Boots,135.29,133.95,0.99%,TRUE,37
04/18/19 03:01,Old West,Women's Old West 12 Inch Snip Toe Fashion Wear Fringe Cowboy Boot,Boots,155.49,153.95,0.99%,TRUE,4
04/18/19 03:01,Bella Vita,Bella Vita Womens Tex Grey Suede Ankle Boots Size 8.5,Boots,65.92,65.27,0.99%,FALSE,4
04/18/19 03:01,Top Moda,Palm-20 Women's Open Toe Ankle Strap Buckle Chunky Heel Booties Sandal,Boots,27.26,26.99,0.99%,FALSE,7
04/18/19 03:01,Refresh,Wild-02 Women Pointed Toe Western Cowboy Cowgirl Mid Calf Boots Black,Boots,37.36,36.99,0.99%,FALSE,3
04/18/19 03:01,Volatile,"Volatile Womens Nightbloom Western Block Heel Cowboy, Western Boots",Boots,70.69,69.99,0.99%,TRUE,5
04/18/19 03:01,Old West,Women's Old West 11 Inch Roper Toe Cowboy Boot,Boots,75.7,74.95,0.99%,FALSE,2
04/18/19 03:01,Softwalk,"softwalk women's rock creek wide calf boot, dark grey, 6.5 m us",Boots,30.82,23,25.37%,TRUE,1
04/18/19 03:01,Old West,Old West Women's 11 Inch Narrow Round Toe Cowboy Boot,Boots,113.07,111.95,0.99%,TRUE,17
04/18/19 03:01,Old West,Women's Old West 12 Inch Snip Toe Fashion Wear Cowboy Boot,Boots,135.29,133.95,0.99%,TRUE,35
04/18/19 03:01,Ros Hommerson,Ros Hommerson Womens Cameo Leather Closed Toe Ankle Strap Mary Jane Flats,Flats,75.74,74.99,0.99%,FALSE,42
04/18/19 03:01,Pleaser,Women's Pleaser Flamingo 809-2G,Heels,70.65,69.95,0.99%,TRUE,11
04/18/19 03:01,Ros Hommerson,Ros Hommerson Cameo W Round Toe Leather Loafer,Loafers & Oxfords,168.08,166.42,0.99%,TRUE,2
04/18/19 03:01,The Highest Heel,Women's Highest Heel Shoes 6 Platform Sandal - Red Patent PU,Sandals & Slippers,39.78,33.71,15.26%,TRUE,1
04/18/19 03:01,J. Adams,J. Adams Ankle Strap High Heel Strappy Sandal - Dress Wedding Shoe - Sexy Comfortable,Sandals & Slippers,29.29,29,0.99%,TRUE,34
04/18/19 03:01,Pleaser,Women's Pleaser Sky 308G-T Ankle Strap Sandal,Sandals & Slippers,58.53,57.95,0.99%,TRUE,12
04/18/19 03:02,Softwalk,Women's Rock Creek Wide Calf Boot,Boots,119.13,79.95,32.89%,TRUE,4
04/18/19 03:02,Style Co.,Style Co. Womens Mandyy Closed Toe Ankle Cowboy Boots,Boots,57.17,39.98,30.07%,TRUE,1
04/18/19 03:02,Volatile,"Volatile Womens Nightbloom Western Block Heel Cowboy, Western Boots",Boots,70.69,69.99,0.99%,TRUE,5
04/18/19 03:02,Bearpaw,Bearpaw Women's Jenna Boot,Boots,76.82,62.97,18.03%,TRUE,1
04/18/19 03:02,Top Moda,Palm-20 Women's Open Toe Ankle Strap Buckle Chunky Heel Booties Sandal,Boots,27.26,26.99,0.99%,FALSE,7
04/18/19 03:02,Old West,Women's Old West 12 Inch Snip Toe Fashion Wear Cowboy Boot,Boots,100.74,70.45,30.07%,FALSE,34
04/18/19 03:02,Qupid,Qupid Western Slip On Stacked Heel Bootie - Distressed Ankle Pull Cowboy Women's Boot,Boots,40.35,39.95,0.99%,TRUE,7
04/18/19 03:02,Bella Vita,Bella Vita Womens Tex Grey Suede Ankle Boots Size 8.5,Boots,57.77,39.3,31.97%,TRUE,3
04/18/19 03:02,Beacon,Women's Beacon Shoes Newport,Flats,43.42,42.99,0.99%,TRUE,2
04/18/19 03:02,Ros Hommerson,Ros Hommerson Womens Cameo Leather Closed Toe Ankle Strap Mary Jane Flats,Flats,175.08,173.35,0.99%,TRUE,45
04/18/19 03:02,Pleaser,Women's Pleaser Flamingo 809-2G,Heels,70.65,69.95,0.99%,TRUE,10
04/18/19 03:02,Pleaserusa,"FLAMINGO-808HP-1, 8'' Heel 4'' Platform Ankle Strap Sandal",Sandals & Slippers,90.85,89.95,0.99%,TRUE,4
04/18/19 03:02,Pleaserusa,"ADORE-708CHLN, 7'' Heel 2 3/4'' Lined Platform Ankle Strap Sandal",Sandals & Slippers,70.65,69.95,0.99%,TRUE,22
04/18/19 03:02,Pleaser,Women's Pleaser Adore 708N-CK Platform Ankle Strap Sandal,Sandals & Slippers,60.55,59.95,0.99%,TRUE,2
04/18/19 03:02,Summitfashions,6 Inch Women's Sexy Evening Shoes High Heel Sandal Ankle Strap Black Red White,Sandals & Slippers,76.72,67.89,11.51%,TRUE,6
04/18/19 03:02,Beacon,Beacon Womens Mercedes Open Toe Casual Platform Sandals,Sandals & Slippers,42.66,34.97,18.03%,TRUE,1
04/18/19 03:02,Qupid,Qupid Womens Beat-92 Open Toe Special Occasion Platform Sandals,Sandals & Slippers,47,41.23,12.28%,FALSE,3
04/18/19 03:02,Pleaser,Women's Pleaser Sky 308T Platform Sandal,Sandals & Slippers,46.4,45.94,0.99%,TRUE,1
04/18/19 03:02,City-Classified,Suntan Women's Peep Toe Strappy Zipper Wedge Heel Sandal Shoes,Sandals & Slippers,27.26,26.99,0.99%,FALSE,9
04/18/19 03:02,Michael Michael Kors,MICHAEL Michael Kors Womens DAMITA Leather Open Toe Casual Platform Sandals,Sandals & Slippers,79.8,57,28.57%,FALSE,1
04/18/19 03:02,Pleaserusa,"XTREME-808N-CRHM, 8'' Heel 4'' Platform Crosshatch Ankle Strap Sandal",Sandals & Slippers,77.72,76.95,0.99%,TRUE,3
04/18/19 03:03,Softwalk,Women's SoftWalk Rock Creek Wide Calf Boot,Boots,70.86,70.16,0.99%,FALSE,24
04/18/19 03:03,Old West,Women's Old West 12 Inch Snip Toe Fashion Wear Fringe Cowboy Boot,Boots,155.49,153.95,0.99%,TRUE,4
04/18/19 03:03,Fourever Funky,"Leopard Cuff Furry Buckle Vegan Suede Flat Warm Women's Boots (C-Brown, 6 B(M) US)",Boots,19.87,19.67,1.01%,FALSE,1
04/18/19 03:03,Softwalk,"New Softwalk Womens S1665-019 Brown Cowboy, Western Boots Size 10 (A, N)",Boots,70.86,70.16,0.99%,FALSE,17
04/18/19 03:03,Bearpaw,"Bearpaw Womens Aretha Snow Boot, Adult",Boots,79.1,59.47,24.82%,TRUE,4
04/18/19 03:03,Old West,Women's Old West 12 Inch Snip Toe Fashion Wear Cowboy Boot,Boots,135.29,133.95,0.99%,TRUE,34
04/18/19 03:03,Carlos,women's carlos by carlos santana cole bootie,Boots,73.42,57.81,21.26%,FALSE,1
04/18/19 03:03,Qupid,Qupid Western Slip On Stacked Heel Bootie - Distressed Ankle Pull Cowboy Women's Boot,Boots,40.35,39.95,0.99%,TRUE,7
04/18/19 03:03,Michael Michael Kors,MICHAEL Michael Kors Womens Bella Leather Heels Platform Sandals,Heels,44.43,43.99,0.99%,TRUE,1
